frn,pi_name,wos_uid,title,first_author,pmid,doi,pub_year,pub_month,grant_start_date,grant_end_date,grant_type,institution,total_amount,competition_year,num_other_fundings,other_funding_names,primary_theme
142273,Paul Yong,WOS:001355930700007,Interleukin-1β and plasminogen activating system members in endometriotic stromal cell migration/ invasion,"Alotaibi, Fahad T.",MEDLINE:36152991,10.1016/j.xfss.2022.09.004,2023,2,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,3,"Canadian Institutes of Health Research (CIHR) PJT-156084, Health Professional Investigator (HPI) Salary Award from Michael Smith Health Research BC, Canada Research Chair (Tier 2) in Endometriosis and Pelvic Pain",Clinical
142273,Paul Yong,WOS:000632640000019,Negative Sliding Sign during Dynamic Ultrasonography Predicts Low Endometriosis Fertility Index at Laparoscopy,"Alfaraj, Sukainah",MEDLINE:32416264,10.1016/j.jmig.2020.05.003,2021,2,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,0,,Clinical
142273,Paul Yong,WOS:001034050500001,Machine Learning Revealed New Correlates of Chronic Pelvic Pain in Women,"Elgendi, Mohamed",MEDLINE:34713065,10.3389/fdgth.2020.600604,2020,12,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,2,"Canadian Institutes of Health Research PJT-156084, Health Professional Investigator Award from the Michael Smith Foundation for Health Research",Clinical
142273,Paul Yong,WOS:000569049800017,"Role of interleukin-1β in nerve growth factor expression, neurogenesis and deep dyspareunia in endometriosis","Peng, Bo",MEDLINE:32240297,10.1093/humrep/deaa017,2020,4,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,4,"Canadian Institutes of Health Research PJT-156084, Health Professional Investigator Award from the Michael Smith Foundation for Health Research, Abbvie, Allergan",Clinical
142273,Paul Yong,WOS:000525028800001,A Quantitative Analysis of Sleep Quality in Women with Endometriosis,"Arion, Kristina",MEDLINE:32176592,10.1089/jwh.2019.8008,2020,3,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,2,"Canadian Institutes of Health Research PJT-156084, Health Professional Investigator Award from the Michael Smith Foundation for Health Research",Clinical
142273,Paul Yong,WOS:000520044500004,Endometriosis and Negative Perception of the Medical Profession,"Ng, Nicole",MEDLINE:31864912,10.1016/j.jogc.2019.08.034,2020,3,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,4,"CIHR PJT-156084, BC Women's Hospital, Michael Smith Foundation for Health Research, Women's Health Research Institute",Clinical
142273,Paul Yong,WOS:000651115200015,CHC for pelvic pain in women with endometriosis: ineffectiveness or discontinuation due to side-effects,"Yong, Paul J.",MEDLINE:32128454,10.1093/hropen/hoz040,2020,1,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,3,"BC Women's Hospital, Michael Smith Foundation for Health Research, Women's Health Research Institute",Clinical
142273,Paul Yong,WOS:000477796800012,Provoked Vestibulodynia in Women with Pelvic Pain,"Bao, Carol",MEDLINE:30954496,10.1016/j.esxm.2019.03.002,2019,6,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,5,"BC Women's Hospital, Women's Health Research Institute, UBC Hospital Foundation, Michael Smith Foundation for Health Research, VGH",Clinical
142273,Paul Yong,WOS:000472643300033,Prediction of Pouch of Douglas Obliteration: Point-of-care Ultrasound Versus Pelvic Examination,"Arion, Kristina",MEDLINE:30267896,10.1016/j.jmig.2018.09.777,2019,7,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,4,"BC Women's Hospital and Health Centre, and Women's Health Research Institute, Vancouver Coastal Health Research Institute, Michael Smith Foundation for Health Research",Clinical
142273,Paul Yong,WOS:000459324600009,Iatrogenic endometriosis harbors somatic cancer-driver mutations,"Lac, V.",MEDLINE:30428062,10.1093/humrep/dey332,2019,1,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,16,"Canadian Cancer Society Impact Grant 701603, Canadian Institutes of Health Research Foundation FDN-154290, Canadian Institutes of Health Research Project Grant PJT-156084, Janet D. Cottrelle Foundation through the BC Cancer Foundation, BC Women's Hospital, Health Centre Foundation, Women's Health Research Institute, BC Cancer Foundation, VGH, UBC Hospital Foundation, Canadian Institutes of Health Research, Dutch Cancer Society KWF 2013-5869, Michael Smith Foundation, Janet D. Cottrelle Foundation Scholars fund, Dr Chew Wei Memorial Professorship in Gynecologic Oncology, Canada Research Chairs program (Research Chair in Molecular and Genomic Pathology)",Clinical
